Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
islam nusantara produk jil dipasarkan gencar antek jil jil anti arab pro asing kata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0
habis sahur jam si bayi nete empat kali sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0
kak emak tidak suka sama sipit wkwk,0,0,0,0,0,0,0,0,0
kelakuan homo jaman now ngentot sambil live blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0
kak gue bukan orang jawa maaf gue orang palembang soalnya kakak deh belajar aksara jawa kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0
pegawai guardian training kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya kabur gue matahari,1,1,0,1,0,0,0,0,1
bajingan telah melukai lady menerima ganjaran seratus kali lipat sanji selamat ulang tahun pelaut jkt48,0,1,0,0,0,0,0,0,0
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0,0,0,0,0,0,0,0,0
presiden ri jokowi luar biasa kerja nya tulus ikhlas rakyat bersama jokowi,0,0,0,0,0,0,0,0,0
edan memang tujuannya fabiano,0,1,0,0,0,0,0,0,0
pernah mendalami al alquran bang pantas mulutnya kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0
sangat terlihat beda sekali kewibawaannya sangat berwibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0
anjir baru kali lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1
gubernur zaman now gus ipul puti ganjar yasin djarot sihar hasan anton koster ace nurdin sudirman karolin gidot rt keanekaragaman budaya suku agama sesungguhnya kekayaan â tutur djarot hadapan peserta rapat kerja cabang khusus ¦,0,0,0,0,0,0,0,0,0
apa iya islam tidak lokalisasi lah kristen mas nusantaranya mas lihat di gereja di bandung pakai gamelan yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan kurang nusantara apa,0,0,0,0,0,0,0,0,0
ciptakan situasi keamanan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0
positif kok se positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor uniform resource locator,0,0,0,0,0,0,0,0,0
kata sembahyang mengadopsi tradisi lokal masa pekerjaan hindu istilahsembahyangpun lahir tradisi ritusmenyembahhyang tunggal sama denganshalat menyembah all,0,0,0,0,0,0,0,0,0
kamu pendidikan tinggi bodoh ada larang bawa agama biar orang islam di bayar ahok sadar jadi memilih ahok gila,1,1,1,0,0,0,0,0,1
ahok the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1
sih otak tempurung usah meladeni semakin lawan semakin dungu dan kalau tidak begitu tidak makan hehe,1,1,1,0,0,0,0,0,1
awaasss jangan beritanya ke saudara gerung susah mencari kosakatanya kalau bocor memicing mata bibir monyong kesamping suara keluar ky nhn kentut politik kotor sekali zaman kalau tahu brt pulang ky nhn ngeden dungu,1,1,1,0,0,0,1,0,0
pinokio umur tahunan ganti presiden,1,0,1,0,0,0,0,0,1
cerita silat lae semacam kho merah muda yang indonesia liang ie shen penulis cina,0,0,0,0,0,0,0,0,0
benci sekali umat islam,1,0,0,1,1,0,0,0,0
provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok pernah ikut pemilihan apapun kecamatan jadi wakil dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0
pada gue nete,0,1,0,0,0,0,0,0,0
wkwk bani lowo,1,1,0,1,0,0,0,0,1
takabur lahir siapa penguasa rakyat ulama maupun cendikia bahkan iblis makhluk alim beribadah beratus ratus tahun dilaknat hasud takaburnya hanya seorang ahli ilmu filsafat tidak failosof kita demo diri sendi,0,0,0,0,0,0,0,0,0
orang suka konser konser sedikit boros,0,0,0,0,0,0,0,0,0
kapan makan racun banyak ulama mengatakan hukum rokok mubah ada jugaâ ¦,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri meminta khofifah emil dekat masyarakat no bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0
biasa kali gue penggemar korea pop kalau mengomong sama teman teman gue idol gue banci homo,1,1,1,0,0,0,0,1,0
suka video uniform resource locator awal kisah perseteruan haji bolot malih tongtong,0,0,0,0,0,0,0,0,0
budaya kafir bersungguh kalau hal islam diindahkan,0,0,0,0,0,0,0,0,0
lah lah lah hem hem semua diam semua bisu coba tanya sama rumput bergoyang,0,0,0,0,0,0,0,0,0
apabila setan membisikkan was was kepadamu mintalah perlindungan allah qs al araf fussilat,0,0,0,0,0,0,0,0,0
kalau kamu ateis apa sibuk agama orang,0,0,0,0,0,0,0,0,0
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1
selamat hari kartini ganti presiden presiden baru,0,0,0,0,0,0,0,0,0
bajingan homo hati hati anak anak terutama kamar mandi laki laki jangan biarkan sendiri uniform resource locator,1,1,1,0,0,0,0,1,0
iya cocot,1,1,1,0,0,0,0,0,1
budaya indonesia,0,0,0,0,0,0,0,0,0
mengajarkan salat itu orang asing hanya memecah belah islam,0,0,0,0,0,0,0,0,0
kamu berbicara tidak benar bangkai,1,1,1,0,0,0,0,0,1
semua pernah memercayai negara suatu hari akan dijajah ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kini menjadikan negara republik komunis padahal negara negara penjaja,0,0,0,0,0,0,0,0,0
masih menikmati kebijakan dulu diusulkan partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0
kalau seumpama orang cina usir paksa indonesia bagaimana,1,0,0,1,0,1,0,0,0
bunda ngentot yuk,0,1,0,0,0,0,0,0,0
cina babi cina maling usir cina hypertext transfer protocol over secure socket layer co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0
bung karno anti asing beliau jawa coba deh adakan konsensus lebih banyak mana jawa anti asing pro asing kebo ohannya kalau keliru tutup akun,0,0,0,0,0,0,0,0,0
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1
wajar lihat tingkah beberapa petinggi negeri yang suka mencampur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0
ab pribadi senang berkompetisi hal baik positif,0,0,0,0,0,0,0,0,0
terus kamu kitab suci agama apa di bilang om mendadak kalap,1,0,1,0,0,0,0,0,1
suka menutup mata ditutup sudah terlihat tertutup gara gara sipit,0,0,0,0,0,0,0,0,0
sebagai muslim merasa pak menistakan kitab suci alquran an dalam alquran an sendiri beberapa suku kata sampai detik belum diketahui makna faktualnya umat islam kami kata tersebut makna tersirat fiksi belum,0,0,0,0,0,0,0,0,0
eh kasar kamu kampang,1,1,1,0,0,0,0,0,1
bentar gue rilis album the onta si wkwk,0,0,0,0,0,0,0,0,0
cebong bang merasa paling benar,1,1,1,0,0,0,0,0,1
najis banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0
kamu transgender bagaimana anjing uniform resource locator,1,1,1,0,0,0,0,1,0
awas bintitan kamu mengintip titit kucing,0,1,0,0,0,0,0,0,0
bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa sudah saja deh,0,1,0,0,0,0,0,0,0
gue menyarankan perlu banyak bacot maling ayat langsung to the point kamu jadi orang tidak sepaham kamu teriaki kafir sesat liberal pemuja dukun bla blaaa hatimu puas deh,1,1,1,0,1,0,0,0,0
jangan salah target bukan ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1
masa baru kena tagar sudah kepanasan tahu banget ganti presiden,1,0,1,0,0,0,0,0,1
maju kamu sini duit kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,0,1,0,0,0,0,0,0,0
huria kristen batak protestan berdiri sejak pecahnya kristen katolik zaman penjajahan belanda dulu ada namanya kristen protestan ada cuma kristen katolik terjadilah perpecahan berdirilah huria kristen batak protestan pertama kali tarutung nah sekarang saya,0,0,0,0,0,0,0,0,0
apa apa banyak baca biar pintar jepang amerika cina utang sama siapa tau,0,0,0,0,0,0,0,0,0
prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,1,0,1,0,0,0,0,0,1
yang takut azan iblis,0,0,0,0,0,0,0,0,0
goblok adalah bani cebong tukang tipu penjilat penguasa ketahuan gerakan masa dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1
wah cebong sewot,1,1,1,0,0,0,0,0,1
gerakan menekankan pentingnya kerja keras total tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0
padahal gubernur ini djarot mayoritas partai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah mereka uniform resource locator,1,0,1,0,0,0,0,0,1
rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau pasti ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0
orang orang saling menuding antek asing asing sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0
nah lah katanya anti asing,0,0,0,0,0,0,0,0,0
selamat pak semoga terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0
asyik menang sih ikut ulama,0,0,0,0,0,0,0,0,0
saya ketahui diketapang banyak tenaga kerja asing asing bekerja berbagai perusahaan termasuk pt who tambang bauksit viral pemilihan presiden dulu bisa jadi karena kerja sama tersebut terjadi era gubernur cornelis wakilnya,0,0,0,0,0,0,0,0,0
anak pecun jauh jauh hobi zina haha,1,1,1,0,0,0,0,1,0
aku bom surat berharga syariah negara,0,0,0,0,0,0,0,0,0
istirahat pak presiden momentum berlalu pernah jadi saksi telinga mata awal rapat pembentukan di pacitan tahun,0,0,0,0,0,0,0,0,0
house select committee on assassination hsca menemukan cacat investigasi dilakukan fbi warren commission hsca menyimpulkan empat tembakan dilakukan kemungkinan terdapat konspirasi dalamnya,0,0,0,0,0,0,0,0,0
tak terasa genap tahun mendatang april digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,0,0,0,0,0,0,0,0,0
ian pantat,0,1,0,0,0,0,0,0,0
mengakuinya orang pintar beragama memangnya agama mana memperbolehkan menista menghujat orang jangankan orang bodoh orang maaf sejak lahir idiot sekalipun kita hargai sesama ciptaan tuhan ingat iblis juga pintar sangat licik,0,1,0,0,0,0,0,0,0
pendaftaran calon presiden pemilihan presiden belum dibuka agustus normatif begini politikus partai demokrasi indonesia perjuangan belum paham ganti presiden,1,0,0,1,0,0,0,0,1
sih tolol tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,1,1,0,0,1,0,0,0
dulu bapak gue kalau mantan mantan gue selalu merasa sedih kepikiran tidak tidur lo gue merasa jadi anak berengsek begitu laki laki,0,1,0,0,0,0,0,0,0
cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0
ganti presiden konstitusional hak rakyat woiii begini nih kalau plonga plongo kelakuan otoriter,1,1,1,0,0,0,0,0,1
kita wujudkan pilihan kepala daerah kota bengkulu aman damai coki adem86 98heruâ ¦,0,0,0,0,0,0,0,0,0
mau tanya serius sama presiden jokowi yang cuma islam nusantara tidak kristen nusantara buddha hindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0
kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,0,0,0,0,0,0,0,0,0
cowok jago drasex mana sini ngentot sama adik luvian,0,1,0,0,0,0,0,0,0
kroasia kafir tau apa belajar sama kafir lupa sama kapling sorga,1,1,0,1,1,0,0,0,0
lah bukan nya menteri soeharto yang homo,1,1,1,0,0,0,0,1,0
gue tau lah bukan dulu masih culun takut semua orang akan berubah perlahan lahan entah baik buruk,0,0,0,0,0,0,0,0,0
perang salib dulu kerajaan afrika terbagi yakni babilonia pemeluk kristen tobaco pemeluk islam,0,0,0,0,0,0,0,0,0
kejar setoran memang cukup bangsat mana rupiah turun,1,1,1,0,0,0,0,0,1
semoga ada tindak lanjutnya pelaporan penista agama adek armando dilakukan langsung ketua umum front pembela islam kh shobri lubis badan reserse kriminal markas besar kepolisian republik indonesia gambir jakarta pusat selasa pukul waktu indonesia bagian barat perhaps,1,0,1,0,1,0,0,0,0
bangkai hajar,1,1,1,0,0,0,0,0,1
onta mati kalau kebanyakan minum,1,0,0,1,0,0,0,0,1
uniform resource locator ahok tng terus was was hidupnya,1,0,1,0,0,0,0,0,1
baru sul teng ekses akibat tersandera hutang cina ganti presiden presiden baru tetap jokowi ganti,1,0,1,0,0,0,0,0,1
pride yunani hyperphania keangkuhan harga diri kesombongan dikenal dengan sebutan hubris vanity harga diri tinggi mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0
aku bertanya tujuan hati logikaku menjawab hati tak tenang aku bertanya logika hatiku sedih ku cari jawaban wasiat beliau tinggalkan aku mulai menjadi terasing asing mata manusia tak apa duhai diri,0,0,0,0,0,0,0,0,0
tak kurang bertaji nya komisi pemberantasan korupsi era tapi era juga komitmen pemberantasan korupsi surat pemberitahuan tahunan era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1
admin tolol partai tolol partai tolol orang tolol,1,1,0,1,0,0,0,0,1
ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator,0,1,0,0,0,0,0,0,0
video tenaga kerja asing dibuat malaysia mengutip pernyataan di,0,0,0,0,0,0,0,0,0
ppp jangan buru buru tolak wacana pilihan kepala daerah lewatâ dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0
random pagi pagi bapak bapak menyamper meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri butek soalnya ku jawab pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0
kok gue kampret,0,1,0,0,0,0,0,0,0
memek lonte disodok kontol gede,0,1,0,0,0,0,0,0,0
jokowi yang mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1
berbicara apa mulut kok banci beli kaca dulu lihat dirimu bro,1,1,1,0,0,0,0,1,0
amin racist amat dani ratna sih paiiit sih onta sih lobang anus jadi jangan takut oi oi kehabisan obat penenang,1,1,1,0,0,0,0,0,1
tunggu komando imam bejat cabul tai bir apa apa bawa ulama dasar banj sempak,1,1,1,0,0,0,0,1,0
kabinet berantakan pemecah belah persatuan ada rezim,1,0,0,1,0,0,0,0,1
ih mengakui lebih pintar orang politik mengaca dulu oi tampang kamu kakak orang bego wkwk,1,1,1,0,0,0,1,0,0
partai demokrasi indonesia perjuangan menang menekan perusahaan tambang target proyek impossible lalu dilelang murah antek cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar bajingan,1,1,0,1,0,0,0,0,1
percaya sama mulut buaya mu bawang,1,1,1,0,0,0,0,0,1
susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa terulang partai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai jika poros pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0
jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing pemilihan presiden melawan jokowi,1,1,1,0,0,0,0,1,0
terakhir indonesia negara populasi muslim terbesar dunia mana islam ini merupakan musuh barat komunis dapat menghambat agenda kepentingan obviously,0,0,0,0,0,0,0,0,0
umuh persib persib kunyuk,1,1,0,1,0,0,0,0,1
buat film muslim pilih ahok mati enggak disalatkan dijamin laris,1,0,1,0,0,0,0,0,1
banu banu yahudi tentu beda banu banu kristen suriah salah satu perbedaan banu yahudi tetap pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0
eh muka merah merah tak cendol bukan lah setan cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo anies sandi sebenarnya media menumpahkan sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1
giat bhayangkara pembina keamanan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing hari rabu april melaksanakan sambang desa tatap muka sekaligus memantau keamanan ketertiban masyarakat menuju pilihan kepala daerah desa lobusiregar tepatnya rumah rudi panjaitan helman siahaan hotman siahaan,0,0,0,0,0,0,0,0,0
sayang banget melihat perempuan kayak begini ada status apa apa sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan viva uniform resource locator,0,1,0,0,0,0,0,0,0
jangan lupa kang umat katolik minoritas lainnya diperhatikan gubernur semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0
kan bukan cebong dibilangi kemarin mengeyel situ memaksa jadi cebong,1,1,1,0,0,0,0,0,1
kelemahan gerindra ada orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1
selamat hari kartini kali selalu dirayakan lalu apa maknanya kali ð ¤,0,0,0,0,0,0,0,0,0
foto memang bisu memiliki banyak arti susah diartikan sama kamu susah diartikan mau putus lanjut,0,0,0,0,0,0,0,0,0
wkwk aku mengalaminya setibanya muncul grub wa bani abdi hadi mbahku seketika aku mek kenal beberapa orang,0,0,0,0,0,0,0,0,0
ayah pres badar nuqaba paling boekkkð nih hebat bidang agama takut natural killer tegur member sendiri selalu buat lawak hambar paling aku ingat sekarang lawak kalau orang cukup jom gerak sekarang akan gerakan badan yang chubby ð,0,0,0,0,0,0,0,0,0
â seorang anak pekan mengilhamkan dasar ekonomi baru deb menjadi penggerak utama kemajuan ekonomi luar bandar beliau allah rahman tun abdul razak ds malaysia memilih hogohundi,0,0,0,0,0,0,0,0,0
haha sialaaan nih sih ternyata kalau lapar presiden mau disikat sama doið ð ½,0,0,0,0,0,0,0,0,0
mau menasihati kali tidak ugal ugalan nih rezim eh ini negeri keburu hancur nah sekarang ekonomi moral menikah kacaoooooo,1,0,1,0,0,0,0,0,1
alah silit kebelet dikasihani orang makin sayang pak kasus media sosial gue baru sadar beberapa di satu instansi kemarin tar gue ceritakan duuuhhh,0,1,0,0,0,0,0,0,0
iya tadi cacat,0,0,0,0,0,0,0,0,0
tahun rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian cebong tukang tipu cebong adalah begitu goblok enggak ketulungan plonga plongo mengakibatkan optimisme berlebihan ganti presiden,1,1,0,1,0,0,0,0,1
aku pernah sempat baca harun yahya yang membelot kubu yahudi freemason nya kadang suka percaya,0,0,0,0,0,0,0,0,0
maju bersama ulama bergerak bersama semua tokoh agama indonesia ikut gus mus,0,0,0,0,0,0,0,0,0
mukidi terlalu percaya diri pertanyaan mudah dijawab keras meminta dijawab keras siapa nama saya,0,0,0,0,0,0,0,0,0
kemarin hujat sekarang mengharap dasar bani kampret,1,1,0,1,0,0,0,0,1
penjelasan bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah,1,1,0,1,1,0,0,0,0
monyet koloe dibilang saudara sama kamu ogah hidupmu kok begini ya hati apa comberan,1,1,1,0,0,0,0,0,1
body lufra scrub bahan dasar lidah buaya melembabkan kulit lebih bercahaya info body mass index,0,0,0,0,0,0,0,0,0
tak punya cacat masa lalu belum bermasa lalu,0,0,0,0,0,0,0,0,0
jangan jangan penganut bumi datar soalnya teori bumi bulat kan orang asing notabene musuh,0,0,0,0,0,0,0,0,0
becak warga binjai hendak disita gunakan tenda bertuliskan ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik takut,1,0,0,1,0,0,0,0,1
lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1
musyawarah nasional alim ulama ppp semarang menghasilkan lima rekomendasi syarat kriteria kriteria calon wakil presiden akan mendampingi bapak jokowi mendatang romahurmuziy,0,0,0,0,0,0,0,0,0
luar biasa pencerahan nya merasa gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0
kafan berasal budaya yahudi umat islam mengklaim,0,0,0,0,0,0,0,0,0
rezim sekarang atas kendali negara cina komunis menjadi patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0
tanda nya mau pilihan kepala daerah pemilihan presiden,0,0,0,0,0,0,0,0,0
misi membangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor tiga jawa barat asyik asyik menang,0,0,0,0,0,0,0,0,0
ketabahan pasangan taufik puan nurliyana wajar dicontohi jom beri sumbangan meringankan beban pasangan come on twitter do your berpikir badan standarisasi nasional bank islam nurliyana bosan abdul razif,0,0,0,0,0,0,0,0,0
apa sih tai baru doang belaganya selangit ingat karma beberapa tahun kalau idol kamu flop gue tertawa paling keras,1,1,1,0,0,0,0,0,1
celeng kangen gue iya,0,1,0,0,0,0,0,0,0
terangi negeri budaya yuk mengunjungi purwokerto mumpung even rakyat purwokerto ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0
presiden punya dana taktis bisa menggunakan kepentingan rakyatnya luar program program pemerintah sudah soal program banyak sekali pembangunan infrastruktur kip kartu indonesia sehat sertifikat tanah perhutanan sosial bahan bakar minyak harga padat karya,0,0,0,0,0,0,0,0,0
amin allah timnya kinan sampai pelatihan ular dia rawa rawa aku dapatnya di sungai gede dan musuhnya buaya wkwk,0,0,0,0,0,0,0,0,0
maju kamu memaki mama aku bolot,1,1,1,0,0,0,0,0,1
gerombolan kadal jidat gosong memang sukanya ribut kalau gerombolannya salah pura pura budek dasar gerombolan cingkrang uniform resource locator,1,1,0,1,0,0,1,0,0
sebegitu gentarnya takut kafir,0,0,0,0,0,0,0,0,0
betul padahal saracen siapa akun kritis dianggap saracen kan aneh jokowi,1,0,1,0,0,0,0,0,1
siapa bego kamu bukan teman gue najis kesal sendiri gue,1,1,1,0,0,0,0,0,1
kafir kristen selalu buat ulah,1,1,0,1,1,0,0,0,0
tau dong bau baunya keciri sipit buluk,1,1,1,0,0,1,0,0,0
kayak memegang bukan mucikari,0,0,0,0,0,0,0,0,0
guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah mendukung pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0
anjir seram mainnya begituan,0,1,0,0,0,0,0,0,0
kayaknya atau cuma bank tertentu bilang mau jual uang asing tukar rupiah,0,0,0,0,0,0,0,0,0
onta yaman nih setahun gue deportasi kamu,1,1,1,0,0,0,0,0,1
hati hati berita pilihan kepala daerah berbau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi,0,0,0,0,0,0,0,0,0
anak cocot ini,1,1,1,0,0,0,0,0,1
ketahuan hoaks fahri makanya kalau ambil berita tuyg pembaruan jangan tong sampah diambil terus screenshoot taunya berita,1,0,1,0,0,0,0,0,1
mantap direct message dekat sama barisan serba bang,0,0,0,0,0,0,0,0,0
ternyata lebah tidak suka bunga makan bangkai gue penasaran madu nya kayak bagaimana,0,0,0,0,0,0,0,0,0
pantas indonesia mundur segala bentuk,1,0,1,0,0,0,0,0,1
nah dongok bilang hacker haha,0,1,0,0,0,0,0,0,0
haha blunder kamu cebong tidak memberi protein energy malnutrition pusat alasan ham kalau rakyat aceh mau kali coba kamu datangi pemerintah bilang suruh buat hukum islam kaffah aceh kalau dewan perwakilan rakyat,1,1,1,0,0,0,0,0,1
bangsat gue menyelam bawah bawah balik ke atas,0,1,0,0,0,0,0,0,0
tak dipancing pancing urusan penistaan bukan hanya berbicara pemahaman tentang fiksi kitab suci,0,0,0,0,0,0,0,0,0
cebong kacung kita teman gue dungunya ke tulang sumsum jadi jangan buang buang energi debat sama,1,1,0,1,0,0,0,0,1
partai korupsi sapi goblok,1,1,0,1,0,0,0,0,1
sinyal kontol pemeliharaan ini niat sih login twitter doang susah bagaimana mau open redtube setan,1,1,0,1,0,0,0,1,0
matanya aku tak mau aku kafir wkwk,0,0,0,0,0,0,0,0,0
jadi ingat facebook anjir lupa aku,0,1,0,0,0,0,0,0,0
kalau aku sih bakal bilang alah kontol,0,1,0,0,0,0,0,0,0
nikita mirzani pakai hijab masih berbicara cebang cebong pernah fantasikan belum uh ah cokorers,1,1,1,0,0,0,0,0,1
